"subject","StartDateTime","EndDateTime"
"Neujahrstag","2021-01-01T00:00:00","2021-01-02T00:00:00"
"Neujahrstag","2022-01-01T00:00:00","2022-01-02T00:00:00"
"Neujahrstag","2023-01-01T00:00:00","2023-01-02T00:00:00"
"Heilige Drei Koenige","2021-01-06T00:00:00","2021-01-07T00:00:00"
"Heilige Drei Koenige","2022-01-06T00:00:00","2022-01-07T00:00:00"
"Heilige Drei Koenige","2023-01-06T00:00:00","2023-01-07T00:00:00"
"Ostersonntag","2021-04-04T00:00:00","2021-04-05T00:00:00"
"Ostersonntag","2022-04-17T00:00:00","2022-04-18T00:00:00"
"Ostersonntag","2023-04-9T00:00:00","2023-04-10T00:00:00"
"Ostermontag","2021-04-05T00:00:00","2021-04-06T00:00:00"
"Ostermontag","2022-04-18T00:00:00","2022-04-19T00:00:00"
"Ostermontag","2023-04-10T00:00:00","2023-04-11T00:00:00"
"Staatsfeiertag","2021-05-01T00:00:00","2021-05-02T00:00:00"
"Staatsfeiertag","2022-05-01T00:00:00","2022-05-02T00:00:00"
"Staatsfeiertag","2023-05-01T00:00:00","2023-05-02T00:00:00"
"Christi Himmelfahrt","2021-05-13T00:00:00","2021-05-14T00:00:00"
"Christi Himmelfahrt","2022-05-26T00:00:00","2022-05-27T00:00:00"
"Christi Himmelfahrt","2023-05-18T00:00:00","2023-05-19T00:00:00"
"Pfingstsonntag","2021-05-23T00:00:00","2021-05-24T00:00:00"
"Pfingstsonntag","2022-06-05T00:00:00","2022-06-06T00:00:00"
"Pfingstsonntag","2023-05-28T00:00:00","2023-05-29T00:00:00"
"Pfingstmontag","2021-05-24T00:00:00","2021-05-25T00:00:00"
"Pfingstmontag","2022-06-06T00:00:00","2022-06-07T00:00:00"
"Pfingstmontag","2023-05-29T00:00:00","2023-05-30T00:00:00"
"Maria Himmelfahrt","2021-08-15T00:00:00","2021-08-16T00:00:00"
"Maria Himmelfahrt","2022-08-15T00:00:00","2022-08-16T00:00:00"
"Maria Himmelfahrt","2023-08-15T00:00:00","2023-08-16T00:00:00"
"Fronleichnam","2021-06-03T00:00:00","2021-06-04T00:00:00"
"Fronleichnam","2022-06-16T00:00:00","2022-06-17T00:00:00"
"Fronleichnam","2023-06-08T00:00:00","2023-06-09T00:00:00"
"Nationalfeiertag","2020-10-26T00:00:00","2020-10-27T00:00:00"
"Nationalfeiertag","2021-10-26T00:00:00","2021-10-27T00:00:00"
"Nationalfeiertag","2022-10-26T00:00:00","2022-10-27T00:00:00"
"Nationalfeiertag","2023-10-26T00:00:00","2023-10-27T00:00:00"
"Allerheiligen","2020-11-01T00:00:00","2020-11-02T00:00:00"
"Allerheiligen","2021-11-01T00:00:00","2021-11-02T00:00:00"
"Allerheiligen","2022-11-01T00:00:00","2022-11-02T00:00:00"
"Allerheiligen","2023-11-01T00:00:00","2023-11-02T00:00:00"
"Maria Empfaengnis","2020-12-08T00:00:00","2020-12-09T00:00:00"
"Maria Empfaengnis","2021-12-08T00:00:00","2021-12-09T00:00:00"
"Maria Empfaengnis","2022-12-08T00:00:00","2022-12-09T00:00:00"
"Maria Empfaengnis","2023-12-08T00:00:00","2023-12-09T00:00:00"
"Heiliger Abend","2020-12-24T00:00:00","2020-12-25T00:00:00"
"Heiliger Abend","2021-12-24T00:00:00","2021-12-25T00:00:00"
"Heiliger Abend","2022-12-24T00:00:00","2022-12-25T00:00:00"
"Heiliger Abend","2023-12-24T00:00:00","2023-12-25T00:00:00"
"Christtag","2020-12-25T00:00:00","2020-12-26T00:00:00"
"Christtag","2021-12-25T00:00:00","2021-12-26T00:00:00"
"Christtag","2022-12-25T00:00:00","2022-12-26T00:00:00"
"Christtag","2023-12-25T00:00:00","2023-12-26T00:00:00"
"Stephanitag","2020-12-26T00:00:00","2020-12-27T00:00:00"
"Stephanitag","2021-12-26T00:00:00","2021-12-27T00:00:00"
"Stephanitag","2022-12-26T00:00:00","2022-12-27T00:00:00"
"Stephanitag","2023-12-26T00:00:00","2023-12-27T00:00:00"